a	121.63636364	55.109401888	884.69146949	92.265883322
b	346.95690936	63.335860112	1028.2288262	89.051472883
c	281.59497908	58.30135977	1015.8359833	91.695246889
d	258.16763006	58.665609439	881.68569364	91.740652231
e	237.73230769	61.748493245	766.67015385	97.063573082
f	287.64209402	61.723855462	881.82799145	90.594491142
g	311.57302118	64.925141192	877.19620959	92.513376609
h	402.95526459	52.423776709	880.15602837	94.557777259
i	480.14966985	50.87998808	765.25752018	96.832887773
j	441.37288136	53.775490247	877.1920904	82.04715485
k	489.07112971	50.660864894	886.28451883	87.194802336
l	567.40213971	53.750192037	893.27375708	87.072055035
m	487.02854424	48.252916454	1025.6898192	88.922592775
n	415.04092527	49.418110418	1014.8647687	90.35963573
o	530.72952779	47.096777958	771.01823072	97.61118667
p	609.75804196	44.805573465	773.98041958	100.45052384
q	125.8125	51.998706022	768.67857143	94.069287698
r	302.06669193	68.278202321	760.97877984	95.830959043
s	200.72092067	58.530228305	879.96958487	93.47994822
t	321.44591484	67.573488548	759.13895282	99.204786212
u	408.22058824	60.658077549	756.41617647	99.481423768
v	321.04480652	61.427192912	1027.4501018	90.590979497
w	200.78294574	55.962862422	769.87818383	99.169939701
x	258.93137255	60.59331398	1000.5588235	97.23245328
y	359.97622821	73.345506152	752.98969889	99.0249885
z	166.953125	61.506079113	1006.28125	91.520744244
